Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2020-01-23;67,5489;67,5489;67,5489;67,5489;;
2020-01-21;67,6326;67,6326;67,6326;67,6326;;
2020-01-17;67,803;67,803;67,803;67,803;;
2020-01-16;67,5404;67,5404;67,5404;67,5404;;
2020-01-15;67,1401;67,1401;67,1401;67,1401;;
2020-01-14;67,0355;67,0355;67,0355;67,0355;;
2020-01-10;66,7247;66,7247;66,7247;66,7247;;
2020-01-09;66,7869;66,7869;66,7869;66,7869;;
2020-01-08;66,4157;66,4157;66,4157;66,4157;;
2020-01-07;66,2874;66,2874;66,2874;66,2874;;
2020-01-06;66,342;66,342;66,342;66,342;;
2019-12-30;66,0117;66,0117;66,0117;66,0117;;
2019-12-27;66,3287;66,3287;66,3287;66,3287;;
2019-12-23;65,9168;65,9168;65,9168;65,9168;;
2019-12-20;65,8881;65,8881;65,8881;65,8881;;
2019-12-19;65,6277;65,6277;65,6277;65,6277;;
2019-12-18;65,4187;65,4187;65,4187;65,4187;;
2019-12-17;65,5119;65,5119;65,5119;65,5119;;
2019-12-16;65,5311;65,5311;65,5311;65,5311;;
2019-12-13;65,033;65,033;65,033;65,033;;
2019-12-12;64,7369;64,7369;64,7369;64,7369;;
2019-12-11;64,3301;64,3301;64,3301;64,3301;;
2019-12-10;64,1796;64,1796;64,1796;64,1796;;
2019-12-09;64,2596;64,2596;64,2596;64,2596;;
2019-12-06;64,3637;64,3637;64,3637;64,3637;;
2019-12-05;63,863;63,863;63,863;63,863;;
2019-12-04;63,7665;63,7665;63,7665;63,7665;;
2019-12-03;63,4166;63,4166;63,4166;63,4166;;
2019-12-02;63,7879;63,7879;63,7879;63,7879;;
2019-11-29;64,2294;64,2294;64,2294;64,2294;;
2019-11-27;64,5101;64,5101;64,5101;64,5101;;
2019-11-26;64,2849;64,2849;64,2849;64,2849;;
2019-11-25;64,1679;64,1679;64,1679;64,1679;;
2019-11-22;63,6944;63,6944;63,6944;63,6944;;
2019-11-21;63,5951;63,5951;63,5951;63,5951;;
2019-11-20;63,718;63,718;63,718;63,718;;
2019-11-19;63,9907;63,9907;63,9907;63,9907;;
2019-11-18;64,0139;64,0139;64,0139;64,0139;;
2019-11-15;63,9278;63,9278;63,9278;63,9278;;
2019-11-14;63,4324;63,4324;63,4324;63,4324;;
2019-11-13;63,4997;63,4997;63,4997;63,4997;;
2019-11-12;63,5461;63,5461;63,5461;63,5461;;
2019-11-08;63,4922;63,4922;63,4922;63,4922;;
2019-11-07;63,4266;63,4266;63,4266;63,4266;;
2019-11-06;63,2614;63,2614;63,2614;63,2614;;
2019-11-05;63,2003;63,2003;63,2003;63,2003;;
2019-10-31;62,4765;62,4765;62,4765;62,4765;;
2019-10-30;62,5769;62,5769;62,5769;62,5769;;
2019-10-29;62,4361;62,4361;62,4361;62,4361;;
2019-10-28;62,4064;62,4064;62,4064;62,4064;;
2019-10-25;62,1645;62,1645;62,1645;62,1645;;
2019-10-24;61,9646;61,9646;61,9646;61,9646;;
2019-10-23;61,7577;61,7577;61,7577;61,7577;;
2019-10-21;61,7841;61,7841;61,7841;61,7841;;
2019-10-18;61,3912;61,3912;61,3912;61,3912;;
2019-10-17;61,5748;61,5748;61,5748;61,5748;;
2019-10-16;61,3883;61,3883;61,3883;61,3883;;
2019-10-15;61,4217;61,4217;61,4217;61,4217;;
2019-10-11;60,9378;60,9378;60,9378;60,9378;;
2019-10-10;60,1189;60,1189;60,1189;60,1189;;
2019-10-09;59,7625;59,7625;59,7625;59,7625;;
2019-10-08;59,3767;59,3767;59,3767;59,3767;;
2019-10-07;60,1496;60,1496;60,1496;60,1496;;
2019-10-04;60,2048;60,2048;60,2048;60,2048;;
2019-10-02;59,2912;59,2912;59,2912;59,2912;;
2019-10-01;60,3242;60,3242;60,3242;60,3242;;
2019-09-30;60,9249;60,9249;60,9249;60,9249;;
2019-09-27;60,7971;60,7971;60,7971;60,7971;;
2019-09-26;60,9678;60,9678;60,9678;60,9678;;
2019-09-25;60,9957;60,9957;60,9957;60,9957;;
2019-09-24;60,9261;60,9261;60,9261;60,9261;;
2019-09-20;61,3541;61,3541;61,3541;61,3541;;
2019-09-19;61,5517;61,5517;61,5517;61,5517;;
2019-09-18;61,4473;61,4473;61,4473;61,4473;;
2019-09-17;61,4668;61,4668;61,4668;61,4668;;
2019-09-13;61,5776;61,5776;61,5776;61,5776;;
2019-09-12;61,4581;61,4581;61,4581;61,4581;;
2019-09-11;61,2466;61,2466;61,2466;61,2466;;
2019-09-10;60,8261;60,8261;60,8261;60,8261;;
2019-09-09;60,7953;60,7953;60,7953;60,7953;;
2019-09-06;60,8057;60,8057;60,8057;60,8057;;
2019-09-05;60,6746;60,6746;60,6746;60,6746;;
2019-09-04;59,9765;59,9765;59,9765;59,9765;;
2019-09-03;59,3355;59,3355;59,3355;59,3355;;
2019-08-30;59,653;59,653;59,653;59,653;;
2019-08-29;59,4959;59,4959;59,4959;59,4959;;
2019-08-28;58,8986;58,8986;58,8986;58,8986;;
2019-08-27;58,6991;58,6991;58,6991;58,6991;;
2019-08-26;58,7071;58,7071;58,7071;58,7071;;
2019-08-23;58,4078;58,4078;58,4078;58,4078;;
2019-08-22;59,439;59,439;59,439;59,439;;
2019-08-21;59,541;59,541;59,541;59,541;;
2019-08-20;59,0941;59,0941;59,0941;59,0941;;
2019-08-19;59,5409;59,5409;59,5409;59,5409;;
2019-08-16;58,8864;58,8864;58,8864;58,8864;;
2019-08-14;58,2424;58,2424;58,2424;58,2424;;
2019-08-13;59,5761;59,5761;59,5761;59,5761;;
2019-08-09;59,5932;59,5932;59,5932;59,5932;;
2019-08-08;59,91;59,91;59,91;59,91;;
2019-08-07;58,9639;58,9639;58,9639;58,9639;;
2019-08-06;58,8315;58,8315;58,8315;58,8315;;
2019-08-05;58,4981;58,4981;58,4981;58,4981;;
2019-08-02;59,9638;59,9638;59,9638;59,9638;;
2019-08-01;60,6077;60,6077;60,6077;60,6077;;
2019-07-31;61,0055;61,0055;61,0055;61,0055;;
2019-07-30;61,4451;61,4451;61,4451;61,4451;;
2019-07-29;61,6953;61,6953;61,6953;61,6953;;
2019-07-26;61,7881;61,7881;61,7881;61,7881;;
2019-07-25;61,5375;61,5375;61,5375;61,5375;;
2019-07-24;61,8374;61,8374;61,8374;61,8374;;
2019-07-23;61,6076;61,6076;61,6076;61,6076;;
2019-07-22;61,275;61,275;61,275;61,275;;
2019-07-19;61,1875;61,1875;61,1875;61,1875;;
2019-07-18;61,2919;61,2919;61,2919;61,2919;;
2019-07-17;61,2764;61,2764;61,2764;61,2764;;
2019-07-16;61,5589;61,5589;61,5589;61,5589;;
2019-07-12;61,6851;61,6851;61,6851;61,6851;;
2019-07-11;61,4792;61,4792;61,4792;61,4792;;
2019-07-10;61,3614;61,3614;61,3614;61,3614;;
2019-07-09;61,1521;61,1521;61,1521;61,1521;;
2019-07-08;61,1703;61,1703;61,1703;61,1703;;
2019-07-05;61,4743;61,4743;61,4743;61,4743;;
2019-07-03;61,6874;61,6874;61,6874;61,6874;;
2019-07-02;61,2679;61,2679;61,2679;61,2679;;
2019-07-01;61,0909;61,0909;61,0909;61,0909;;
2019-06-28;60,7032;60,7032;60,7032;60,7032;;
2019-06-27;60,3697;60,3697;60,3697;60,3697;;
2019-06-26;60,1157;60,1157;60,1157;60,1157;;
2019-06-25;60,2576;60,2576;60,2576;60,2576;;
2019-06-24;60,6587;60,6587;60,6587;60,6587;;
2019-06-21;60,6562;60,6562;60,6562;60,6562;;
2019-06-19;60,1892;60,1892;60,1892;60,1892;;
2019-06-18;59,8902;59,8902;59,8902;59,8902;;
