Datum;open;high;low;close;volume
2018-01-02;49,0800;49,1230;48,6770;48,9900;114257
2018-01-03;49,2130;49,4850;49,1700;49,3980;19881
2018-01-04;49,7550;49,7550;49,5000;49,6570;13198
2018-01-05;49,7970;50,0380;49,7360;49,9940;41155
2018-01-08;50,3520;50,4160;50,2200;50,3560;68915
2018-01-09;50,5700;50,7640;50,5480;50,7380;16353
2018-01-10;50,5980;50,6120;50,1820;50,4600;15624
2018-01-11;50,6460;50,6460;50,1520;50,2820;24190
2018-01-12;50,4020;50,4080;50,0720;50,3100;23452
2018-01-15;50,2420;50,2420;49,9270;50,0600;100266
2018-01-16;50,2060;50,4500;50,1120;50,2100;33180
2018-01-17;50,0880;50,2620;50,0060;50,1980;12277
2018-01-18;50,3680;50,4140;50,1120;50,2060;16369
2018-01-19;50,0580;50,4000;50,0580;50,3360;12639
2018-01-22;50,4320;50,5760;50,2840;50,4860;46177
2018-01-23;50,8760;50,8980;50,5700;50,7620;45290
2018-01-24;50,6880;50,6880;50,3400;50,3400;14494
2018-01-25;50,2700;50,4820;49,8220;49,9970;40819
2018-01-26;50,0420;50,4380;50,0200;50,4060;13975
2018-01-29;50,6300;50,7420;50,4320;50,6280;45974
2018-01-30;50,3660;50,3660;49,7500;49,9780;28666
2018-01-31;49,9120;49,9490;49,6930;49,7890;34308
2018-02-01;50,0540;50,0540;49,4510;49,6010;108965
2018-02-02;49,3820;49,3820;49,1280;49,1300;17410
2018-02-05;48,3690;48,6350;48,1490;48,4080;145692
2018-02-06;46,6800;47,6690;46,1550;46,8030;297635
2018-02-07;47,3050;48,4590;47,2000;48,3180;77550
2018-02-08;47,8370;47,9380;47,2260;47,3590;33339
2018-02-09;46,9120;46,9120;46,1500;46,4580;63037
2018-02-12;47,0290;47,4230;46,9710;47,1500;39108
2018-02-13;47,0990;47,0990;46,7700;46,8360;45226
2018-02-14;47,2360;47,3770;46,8300;47,1810;57294
2018-02-15;47,5940;47,7730;47,3370;47,4440;94452
2018-02-16;47,9350;48,2930;47,8580;48,2690;22970
2018-02-19;48,3910;48,4490;48,0700;48,1320;24927
2018-02-20;48,3040;48,4690;48,0290;48,4260;49060
2018-02-21;48,2750;48,6080;48,0900;48,6080;9078
2018-02-22;48,0670;48,4420;47,9780;48,3930;11714
2018-02-23;48,4530;48,5450;48,2900;48,5050;37017
2018-02-26;48,8910;49,1030;48,8540;48,9810;106502
2018-02-27;49,2480;49,4880;49,0510;49,2330;8174
2018-02-28;48,9620;49,2980;48,9250;48,9250;8335
2018-03-01;48,6200;48,6410;48,2360;48,3660;106549
2018-03-02;47,6710;47,7680;46,9510;47,1620;27035
2018-03-05;47,3200;47,7990;47,2600;47,7020;56420
2018-03-06;48,1170;48,1180;47,6840;47,6840;16097
2018-03-07;47,5200;47,8500;47,2790;47,8110;45144
2018-03-08;47,7720;48,3050;47,7610;48,2930;16517
2018-03-09;48,3300;48,7500;48,3280;48,7500;31961
2018-03-12;49,1800;49,2140;48,9170;49,0170;17405
2018-03-13;49,0990;49,1240;48,4530;48,6190;10301
2018-03-14;48,5910;48,7660;48,3820;48,4140;6892
2018-03-15;48,5570;48,6890;48,4100;48,6390;81974
2018-03-16;48,6450;48,9000;48,5450;48,7640;16429
2018-03-19;48,6230;48,6230;47,8860;47,8860;23097
2018-03-20;48,0390;48,3060;47,9240;48,2870;42811
2018-03-21;48,2740;48,4650;48,0750;48,4580;9288
2018-03-22;47,6720;47,8970;47,2520;47,5800;17995
2018-03-23;47,0120;47,1110;46,5880;46,6680;47801
2018-03-26;46,5450;46,6620;45,9150;46,1130;28454
2018-03-27;46,9950;47,2550;46,9310;47,0400;12655
2018-03-28;46,4350;46,6330;46,1660;46,5980;9960
2018-03-29;46,7810;47,2000;46,7060;47,0820;17530
2018-04-03;46,5070;46,8270;46,3690;46,6490;190096
2018-04-04;46,7750;46,7750;46,0480;46,6040;26589
2018-04-05;47,6460;47,9940;47,3980;47,9940;37058
2018-04-09;47,2510;47,3930;47,0000;47,3770;32578
2018-04-10;47,5500;47,6290;47,2540;47,6000;10721
2018-04-11;47,3180;47,4000;46,9780;47,3430;12489
2018-04-12;47,3570;47,8400;47,2360;47,6980;7127
2018-04-13;47,7050;47,9060;47,5650;47,6440;15989
2018-04-16;47,7240;47,7490;47,4680;47,6130;105451
2018-04-17;47,7890;48,2360;47,7270;48,2110;8630
2018-04-18;48,2610;48,3210;48,0790;48,2610;8279
2018-04-19;48,1710;48,2440;48,0000;48,1180;11270
2018-04-20;48,1000;48,2700;48,0000;48,0950;38161
2018-04-23;48,0670;48,4000;47,9770;48,3920;21983
2018-04-24;48,3990;48,5590;48,1910;48,2600;12519
2018-04-25;47,8360;47,9190;47,6990;47,8590;8959
2018-04-26;47,9830;48,5920;47,9830;48,5210;8724
