Datum;Eröffnung;Hoch;Tief;Schluss;Volumen
2018-01-02;49,0800;49,1230;48,6770;48,9900;114257
2018-01-02;49,08;49,12;48,68;48,99;114257
2018-01-03;49,2130;49,4850;49,1700;49,3980;19881
2018-01-03;49,21;49,49;49,17;49,40;19881
2018-01-04;49,7550;49,7550;49,5000;49,6570;13198
2018-01-04;49,76;49,76;49,50;49,66;13198
2018-01-05;49,7970;50,0380;49,7360;49,9940;41155
2018-01-05;49,80;50,04;49,74;49,99;41155
2018-01-08;50,3520;50,4160;50,2200;50,3560;68915
2018-01-08;50,35;50,42;50,22;50,36;68915
2018-01-09;50,5700;50,7640;50,5480;50,7380;16353
2018-01-09;50,57;50,76;50,55;50,74;16353
2018-01-10;50,5980;50,6120;50,1820;50,4600;15624
2018-01-10;50,60;50,61;50,18;50,46;15624
2018-01-11;50,6460;50,6460;50,1520;50,2820;24190
2018-01-11;50,65;50,65;50,15;50,28;24190
2018-01-12;50,4020;50,4080;50,0720;50,3100;23452
2018-01-12;50,40;50,41;50,07;50,31;23452
2018-01-15;50,2420;50,2420;49,9270;50,0600;100266
2018-01-15;50,24;50,24;49,93;50,06;100266
2018-01-16;50,2060;50,4500;50,1120;50,2100;33180
2018-01-16;50,21;50,45;50,11;50,21;33180
2018-01-17;50,0880;50,2620;50,0060;50,1980;12277
2018-01-17;50,09;50,26;50,01;50,20;12277
2018-01-18;50,3680;50,4140;50,1120;50,2060;16369
2018-01-18;50,37;50,41;50,11;50,21;16369
2018-01-19;50,0580;50,4000;50,0580;50,3360;12639
2018-01-19;50,06;50,40;50,06;50,34;12639
2018-01-22;50,4320;50,5760;50,2840;50,4860;46177
2018-01-22;50,43;50,58;50,28;50,49;46177
2018-01-23;50,8760;50,8980;50,5700;50,7620;45290
2018-01-23;50,88;50,90;50,57;50,76;45290
2018-01-24;50,6880;50,6880;50,3400;50,3400;14494
2018-01-24;50,69;50,69;50,34;50,34;14494
2018-01-25;50,2700;50,4820;49,8220;49,9970;40819
2018-01-25;50,27;50,48;49,82;50,00;40819
2018-01-26;50,0420;50,4380;50,0200;50,4060;13975
2018-01-26;50,04;50,44;50,02;50,41;13975
2018-01-29;50,6300;50,7420;50,4320;50,6280;45974
2018-01-29;50,63;50,74;50,43;50,63;45974
2018-01-30;50,3660;50,3660;49,7500;49,9780;28666
2018-01-30;50,37;50,37;49,75;49,98;28666
2018-01-31;49,9120;49,9490;49,6930;49,7890;34308
2018-01-31;49,91;49,95;49,69;49,79;34308
2018-02-01;50,0540;50,0540;49,4510;49,6010;108965
2018-02-01;50,05;50,05;49,45;49,60;108965
2018-02-02;49,3820;49,3820;49,1280;49,1300;17410
2018-02-02;49,38;49,38;49,13;49,13;17410
2018-02-05;48,3690;48,6350;48,1490;48,4080;145692
2018-02-05;48,37;48,64;48,15;48,41;145692
2018-02-06;46,6800;47,6690;46,1550;46,8030;297635
2018-02-06;46,68;47,67;46,16;46,80;297635
2018-02-07;47,3050;48,4590;47,2000;48,3180;77550
2018-02-07;47,31;48,46;47,20;48,32;77550
2018-02-08;47,8370;47,9380;47,2260;47,3590;33339
2018-02-08;47,84;47,94;47,23;47,36;33339
2018-02-09;46,9120;46,9120;46,1500;46,4580;63037
2018-02-09;46,91;46,91;46,15;46,46;63037
2018-02-12;47,0290;47,4230;46,9710;47,1500;39108
2018-02-12;47,03;47,42;46,97;47,15;39108
2018-02-13;47,0990;47,0990;46,7700;46,8360;45226
2018-02-13;47,10;47,10;46,77;46,84;45226
2018-02-14;47,2360;47,3770;46,8300;47,1810;57294
2018-02-14;47,24;47,38;46,83;47,18;57294
2018-02-15;47,5940;47,7730;47,3370;47,4440;94452
2018-02-15;47,59;47,77;47,34;47,44;94452
2018-02-16;47,9350;48,2930;47,8580;48,2690;22970
2018-02-16;47,94;48,29;47,86;48,27;22970
2018-02-19;48,3910;48,4490;48,0700;48,1320;24927
2018-02-19;48,39;48,45;48,07;48,13;24927
2018-02-20;48,3040;48,4690;48,0290;48,4260;49060
2018-02-20;48,30;48,47;48,03;48,43;49060
2018-02-21;48,2750;48,6080;48,0900;48,6080;9078
2018-02-21;48,28;48,61;48,09;48,61;9078
2018-02-22;48,0670;48,4420;47,9780;48,3930;11714
2018-02-22;48,07;48,44;47,98;48,39;11714
2018-02-23;48,4530;48,5450;48,2900;48,5050;37017
2018-02-23;48,45;48,55;48,29;48,51;37017
2018-02-26;48,8910;49,1030;48,8540;48,9810;106502
2018-02-26;48,89;49,10;48,85;48,98;106502
2018-02-27;49,2480;49,4880;49,0510;49,2330;8174
2018-02-27;49,25;49,49;49,05;49,23;8174
2018-02-28;48,9620;49,2980;48,9250;48,9250;8335
2018-02-28;48,96;49,30;48,93;48,93;8335
2018-03-01;48,6200;48,6410;48,2360;48,3660;106549
2018-03-01;48,62;48,64;48,24;48,37;106549
2018-03-02;47,6710;47,7680;46,9510;47,1620;27035
2018-03-02;47,67;47,77;46,95;47,16;27035
2018-03-05;47,3200;47,7990;47,2600;47,7020;56420
2018-03-05;47,32;47,80;47,26;47,70;56420
2018-03-06;48,1170;48,1180;47,6840;47,6840;16097
2018-03-06;48,12;48,12;47,68;47,68;16097
2018-03-07;47,5200;47,8500;47,2790;47,8110;45144
2018-03-07;47,52;47,85;47,28;47,81;45144
2018-03-08;47,7720;48,3050;47,7610;48,2930;16517
2018-03-08;47,77;48,31;47,76;48,29;16517
2018-03-09;48,3300;48,7500;48,3280;48,7500;31961
2018-03-09;48,33;48,75;48,33;48,75;31961
2018-03-12;49,1800;49,2140;48,9170;49,0170;17405
2018-03-12;49,18;49,21;48,92;49,02;17405
2018-03-13;49,0990;49,1240;48,4530;48,6190;10301
2018-03-13;49,10;49,12;48,45;48,62;10301
2018-03-14;48,5910;48,7660;48,3820;48,4140;6892
2018-03-14;48,59;48,77;48,38;48,41;6892
2018-03-15;48,5570;48,6890;48,4100;48,6390;81974
2018-03-15;48,56;48,69;48,41;48,64;81974
2018-03-16;48,6450;48,9000;48,5450;48,7640;16429
2018-03-16;48,65;48,90;48,55;48,76;16429
2018-03-19;48,6230;48,6230;47,8860;47,8860;23097
2018-03-19;48,62;48,62;47,89;47,89;23097
2018-03-20;48,0390;48,3060;47,9240;48,2870;42811
2018-03-20;48,04;48,31;47,92;48,29;42811
2018-03-21;48,2740;48,4650;48,0750;48,4580;9288
2018-03-21;48,27;48,47;48,08;48,46;9288
2018-03-22;47,6720;47,8970;47,2520;47,5800;17995
2018-03-22;47,67;47,90;47,25;47,58;17995
2018-03-23;47,0120;47,1110;46,5880;46,6680;47801
2018-03-23;47,01;47,11;46,59;46,67;47801
2018-03-26;46,5450;46,6620;45,9150;46,1130;28454
2018-03-26;46,55;46,66;45,92;46,11;28454
2018-03-27;46,9950;47,2550;46,9310;47,0400;12655
2018-03-27;47,00;47,26;46,93;47,04;12655
2018-03-28;46,4350;46,6330;46,1660;46,5980;9960
2018-03-28;46,44;46,63;46,17;46,60;9960
2018-03-29;46,7810;47,2000;46,7060;47,0820;17530
2018-03-29;46,78;47,20;46,71;47,08;17530
2018-04-03;46,5070;46,8270;46,3690;46,6490;190096
2018-04-03;46,51;46,83;46,37;46,65;190096
2018-04-04;46,7750;46,7750;46,0480;46,6040;26589
2018-04-04;46,78;46,78;46,05;46,60;26589
2018-04-05;47,6460;47,9940;47,3980;47,9940;37058
2018-04-05;47,65;47,99;47,40;47,99;37058
2018-04-06;47,52;47,56;47,19;47,30;10568
2018-04-09;47,2510;47,3930;47,0000;47,3770;32578
2018-04-09;47,25;47,39;47,00;47,38;32578
2018-04-10;47,5500;47,6290;47,2540;47,6000;10721
2018-04-10;47,55;47,63;47,25;47,60;10721
2018-04-11;47,3180;47,4000;46,9780;47,3430;12489
2018-04-11;47,32;47,40;46,98;47,34;12489
2018-04-12;47,3570;47,8400;47,2360;47,6980;7127
2018-04-12;47,36;47,84;47,24;47,70;7127
