Datum;Eröffnung;Hoch;Tief;Schluss;Volumen
02.01.2018;49,08;49,12;48,68;48,99;114257
03.01.2018;49,21;49,49;49,17;49,40;19881
04.01.2018;49,76;49,76;49,50;49,66;13198
05.01.2018;49,80;50,04;49,74;49,99;41155
08.01.2018;50,35;50,42;50,22;50,36;68915
09.01.2018;50,57;50,76;50,55;50,74;16353
10.01.2018;50,60;50,61;50,18;50,46;15624
11.01.2018;50,65;50,65;50,15;50,28;24190
12.01.2018;50,40;50,41;50,07;50,31;23452
15.01.2018;50,24;50,24;49,93;50,06;100266
16.01.2018;50,21;50,45;50,11;50,21;33180
17.01.2018;50,09;50,26;50,01;50,20;12277
18.01.2018;50,37;50,41;50,11;50,21;16369
19.01.2018;50,06;50,40;50,06;50,34;12639
22.01.2018;50,43;50,58;50,28;50,49;46177
23.01.2018;50,88;50,90;50,57;50,76;45290
24.01.2018;50,69;50,69;50,34;50,34;14494
25.01.2018;50,27;50,48;49,82;50,00;40819
26.01.2018;50,04;50,44;50,02;50,41;13975
29.01.2018;50,63;50,74;50,43;50,63;45974
30.01.2018;50,37;50,37;49,75;49,98;28666
31.01.2018;49,91;49,95;49,69;49,79;34308
01.02.2018;50,05;50,05;49,45;49,60;108965
02.02.2018;49,38;49,38;49,13;49,13;17410
05.02.2018;48,37;48,64;48,15;48,41;145692
06.02.2018;46,68;47,67;46,16;46,80;297635
07.02.2018;47,31;48,46;47,20;48,32;77550
08.02.2018;47,84;47,94;47,23;47,36;33339
09.02.2018;46,91;46,91;46,15;46,46;63037
12.02.2018;47,03;47,42;46,97;47,15;39108
13.02.2018;47,10;47,10;46,77;46,84;45226
14.02.2018;47,24;47,38;46,83;47,18;57294
15.02.2018;47,59;47,77;47,34;47,44;94452
16.02.2018;47,94;48,29;47,86;48,27;22970
19.02.2018;48,39;48,45;48,07;48,13;24927
20.02.2018;48,30;48,47;48,03;48,43;49060
21.02.2018;48,28;48,61;48,09;48,61;9078
22.02.2018;48,07;48,44;47,98;48,39;11714
23.02.2018;48,45;48,55;48,29;48,51;37017
26.02.2018;48,89;49,10;48,85;48,98;106502
27.02.2018;49,25;49,49;49,05;49,23;8174
28.02.2018;48,96;49,30;48,93;48,93;8335
01.03.2018;48,62;48,64;48,24;48,37;106549
02.03.2018;47,67;47,77;46,95;47,16;27035
05.03.2018;47,32;47,80;47,26;47,70;56420
06.03.2018;48,12;48,12;47,68;47,68;16097
07.03.2018;47,52;47,85;47,28;47,81;45144
08.03.2018;47,77;48,31;47,76;48,29;16517
09.03.2018;48,33;48,75;48,33;48,75;31961
12.03.2018;49,18;49,21;48,92;49,02;17405
13.03.2018;49,10;49,12;48,45;48,62;10301
14.03.2018;48,59;48,77;48,38;48,41;6892
15.03.2018;48,56;48,69;48,41;48,64;81974
16.03.2018;48,65;48,90;48,55;48,76;16429
19.03.2018;48,62;48,62;47,89;47,89;23097
20.03.2018;48,04;48,31;47,92;48,29;42811
21.03.2018;48,27;48,47;48,08;48,46;9288
22.03.2018;47,67;47,90;47,25;47,58;17995
23.03.2018;47,01;47,11;46,59;46,67;47801
26.03.2018;46,55;46,66;45,92;46,11;28454
27.03.2018;47,00;47,26;46,93;47,04;12655
28.03.2018;46,44;46,63;46,17;46,60;9960
29.03.2018;46,78;47,20;46,71;47,08;17530
03.04.2018;46,51;46,83;46,37;46,65;190096
04.04.2018;46,78;46,78;46,05;46,60;26589
05.04.2018;47,65;47,99;47,40;47,99;37058
06.04.2018;47,52;47,56;47,19;47,30;10568
09.04.2018;47,25;47,39;47,00;47,38;32578
10.04.2018;47,55;47,63;47,25;47,60;10721
11.04.2018;47,32;47,40;46,98;47,34;12489
12.04.2018;47,36;47,84;47,24;47,70;7127
13.04.2018;47,71;47,91;47,57;47,64;15989
16.04.2018;47,72;47,75;47,47;47,61;105451
17.04.2018;47,79;48,24;47,73;48,21;8630
18.04.2018;48,26;48,32;48,08;48,26;8279
19.04.2018;48,17;48,24;48,00;48,12;11270
20.04.2018;48,10;48,27;48,00;48,10;38161
23.04.2018;48,07;48,40;47,98;48,39;21983
24.04.2018;48,40;48,56;48,19;48,26;12519
25.04.2018;47,84;47,92;47,70;47,86;8959
26.04.2018;47,98;48,59;47,98;48,52;8724
27.04.2018;48,74;48,86;48,61;48,71;18990
30.04.2018;48,80;49,01;48,74;48,96;54962
02.05.2018;48,91;49,09;48,88;49,00;79928
03.05.2018;48,79;48,88;48,35;48,37;63344
04.05.2018;48,79;49,27;48,63;49,27;6933
07.05.2018;49,45;49,71;49,38;49,65;52993
08.05.2018;49,60;49,77;49,44;49,70;76897
09.05.2018;49,86;49,98;49,77;49,91;73120
10.05.2018;50,21;50,35;50,02;50,29;16805
11.05.2018;50,42;50,42;50,19;50,34;15491
14.05.2018;50,40;50,45;50,25;50,33;47069
15.05.2018;50,33;50,55;50,33;50,33;68677
16.05.2018;50,50;50,79;50,46;50,74;35345
17.05.2018;50,75;51,00;50,65;50,93;18302
18.05.2018;50,84;51,00;50,69;50,83;25150
22.05.2018;51,21;51,25;50,99;51,15;23689
23.05.2018;50,97;51,00;50,75;50,93;29564
24.05.2018;51,11;51,11;50,65;50,79;42276
25.05.2018;51,10;51,17;50,95;51,12;18359
28.05.2018;51,08;51,18;51,05;51,16;16063
29.05.2018;51,05;51,06;50,82;50,93;18780
30.05.2018;50,82;50,98;50,70;50,92;22665
31.05.2018;50,88;50,97;50,61;50,72;12591
01.06.2018;50,81;51,10;50,73;51,05;80327
04.06.2018;51,23;51,25;51,02;51,24;43764
05.06.2018;51,16;51,45;51,12;51,22;42909
06.06.2018;51,30;51,30;50,91;51,18;31243
07.06.2018;51,26;51,33;51,06;51,13;51914
08.06.2018;51,08;51,29;50,94;51,18;22476
11.06.2018;51,25;51,42;51,25;51,42;11341
12.06.2018;51,54;51,54;51,35;51,40;13009
13.06.2018;51,63;51,63;51,48;51,58;28193
14.06.2018;51,09;52,14;51,04;52,04;35333
15.06.2018;52,30;52,32;51,69;51,72;60937
18.06.2018;51,83;51,91;51,49;51,67;23076
19.06.2018;51,27;51,57;51,13;51,45;16770
20.06.2018;51,81;51,88;51,63;51,67;51242
21.06.2018;51,93;51,93;51,17;51,29;67705
22.06.2018;51,25;51,51;51,22;51,51;61398
25.06.2018;51,09;51,16;50,26;50,26;48221
26.06.2018;50,57;50,69;50,46;50,56;45372
27.06.2018;50,56;51,03;50,33;51,03;12893
28.06.2018;50,91;50,98;50,38;50,67;10235
29.06.2018;51,09;51,09;50,74;50,90;19350
02.07.2018;50,33;50,66;50,24;50,51;75856
03.07.2018;50,65;50,90;50,65;50,76;9680
04.07.2018;50,54;50,74;50,51;50,71;8429
05.07.2018;50,45;50,74;50,38;50,61;13003
06.07.2018;50,78;50,89;50,53;50,89;5068
09.07.2018;51,12;51,30;51,00;51,30;47922
10.07.2018;51,39;51,67;51,35;51,48;95500
11.07.2018;51,11;51,27;51,04;51,17;10796
12.07.2018;51,40;51,63;51,28;51,51;13633
13.07.2018;51,92;51,98;51,75;51,81;14490
16.07.2018;51,73;51,82;51,50;51,55;82440
17.07.2018;51,46;51,77;51,39;51,70;83174
18.07.2018;52,00;52,10;51,94;52,05;18567
19.07.2018;52,10;52,18;51,96;52,09;8310
20.07.2018;51,90;51,96;51,55;51,80;56188
23.07.2018;51,55;51,73;51,46;51,72;20967
24.07.2018;52,02;52,20;51,84;52,07;5777
25.07.2018;52,08;52,16;51,92;52,14;7330
26.07.2018;52,20;52,59;52,18;52,53;18214
27.07.2018;52,65;52,81;52,51;52,51;12490
30.07.2018;52,22;52,25;52,00;52,00;35283
31.07.2018;51,93;52,18;51,85;52,13;10656
01.08.2018;52,29;52,29;52,08;52,17;78192
02.08.2018;52,04;52,25;51,86;52,25;21355
03.08.2018;52,46;52,62;52,44;52,55;8873
06.08.2018;52,80;52,93;52,66;52,79;26414
07.08.2018;52,98;53,04;52,90;52,95;35091
08.08.2018;52,84;52,98;52,81;52,87;19483
09.08.2018;52,87;53,08;52,85;53,06;8085
10.08.2018;53,08;53,16;52,94;53,16;8963
13.08.2018;52,98;53,13;52,90;53,02;15726
14.08.2018;53,07;53,31;53,02;53,27;18779
15.08.2018;53,33;53,39;52,69;52,85;63033
16.08.2018;52,93;53,14;52,85;53,11;13054
17.08.2018;53,15;53,16;52,89;52,99;5886
20.08.2018;53,24;53,33;53,11;53,15;46237
21.08.2018;51,96;52,14;51,96;52,08;13297
22.08.2018;51,78;51,84;51,62;51,83;35680
23.08.2018;51,84;51,94;51,67;51,67;30060
24.08.2018;51,81;51,91;51,65;51,79;14654
27.08.2018;52,08;52,14;51,96;52,03;48086
28.08.2018;52,06;52,06;51,90;51,90;25879
29.08.2018;52,15;52,19;52,03;52,18;11178
30.08.2018;52,09;52,26;52,01;52,20;24700
31.08.2018;52,00;52,17;51,88;52,13;23270
03.09.2018;52,20;52,27;52,13;52,19;81180
04.09.2018;52,39;52,41;51,97;52,08;16224
05.09.2018;51,94;51,94;51,47;51,47;44855
06.09.2018;51,49;51,67;51,30;51,32;23071
07.09.2018;51,34;51,57;51,23;51,54;45056
10.09.2018;51,66;51,73;51,48;51,53;73505
11.09.2018;51,52;51,62;51,35;51,56;11291
12.09.2018;51,74;51,86;51,51;51,63;23022
13.09.2018;51,62;51,84;51,58;51,60;31550
14.09.2018;51,73;51,87;51,62;51,87;13134
17.09.2018;51,88;51,92;51,61;51,69;110127
18.09.2018;51,64;51,92;51,61;51,92;18364
19.09.2018;51,99;52,11;51,85;52,03;10198
20.09.2018;52,04;52,10;51,93;52,10;25088
21.09.2018;52,21;52,35;52,12;52,29;37080
24.09.2018;52,12;52,12;51,80;51,90;66852
25.09.2018;52,06;52,21;51,92;52,09;5172
26.09.2018;52,09;52,19;52,03;52,19;17502
27.09.2018;52,08;52,52;52,00;52,46;30762
28.09.2018;52,47;52,62;52,41;52,51;29556
01.10.2018;52,76;52,94;52,70;52,94;83445
02.10.2018;52,75;52,84;52,70;52,75;14040
04.10.2018;52,86;52,87;52,37;52,46;30086
05.10.2018;52,50;52,50;52,14;52,14;33791
08.10.2018;52,11;52,17;51,92;51,96;394485
09.10.2018;52,05;52,18;51,87;52,11;17921
10.10.2018;52,00;52,02;51,02;51,09;28764
11.10.2018;50,00;50,25;49,50;49,55;73686
12.10.2018;49,84;49,99;49,64;49,65;63700
15.10.2018;49,53;49,74;49,30;49,74;115665
16.10.2018;49,60;50,22;49,55;50,20;41807
17.10.2018;50,72;50,73;50,20;50,37;156337
18.10.2018;50,62;50,69;50,11;50,11;18712
19.10.2018;50,33;50,49;50,16;50,26;9635
22.10.2018;50,14;50,22;49,84;50,05;35566
23.10.2018;49,34;49,46;48,83;49,05;65344
24.10.2018;49,31;49,92;49,15;49,19;23379
25.10.2018;48,55;49,28;48,52;49,28;29106
26.10.2018;48,76;48,76;48,06;48,62;26975
29.10.2018;48,63;49,42;48,63;48,91;13710
30.10.2018;48,76;48,85;48,38;48,78;6764
31.10.2018;49,47;50,07;49,46;49,89;47033
01.11.2018;49,69;49,92;49,60;49,89;185094
02.11.2018;50,38;50,40;49,79;49,81;46414
05.11.2018;49,84;50,10;49,75;49,87;40945
06.11.2018;50,08;50,15;49,83;50,03;18227
07.11.2018;50,24;50,59;50,24;50,59;67550
08.11.2018;51,02;51,09;50,86;50,99;39563
09.11.2018;51,02;51,02;50,67;50,80;11824
12.11.2018;51,20;51,22;50,42;50,45;16318
13.11.2018;50,60;50,70;50,14;50,47;25298
14.11.2018;50,03;50,44;49,90;49,90;20966
15.11.2018;49,93;49,98;49,33;49,69;122380
16.11.2018;49,98;49,98;49,46;49,70;7806
19.11.2018;49,93;49,97;49,17;49,17;9303
20.11.2018;48,84;48,85;48,25;48,53;122546
21.11.2018;48,60;48,95;48,50;48,93;89322
22.11.2018;48,66;48,66;48,32;48,32;18992
23.11.2018;48,47;48,81;48,41;48,80;27796
26.11.2018;48,96;49,28;48,96;49,12;8017
27.11.2018;49,38;49,48;49,09;49,43;25126
28.11.2018;49,69;49,82;49,59;49,71;22128
29.11.2018;50,02;50,09;49,83;49,96;181979
30.11.2018;49,99;50,31;49,86;50,20;163494
03.12.2018;51,33;51,33;50,77;50,81;229200
04.12.2018;50,62;50,63;50,40;50,49;61400
05.12.2018;49,80;49,89;49,63;49,63;58997
06.12.2018;49,17;49,18;47,94;48,21;85257
