Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2020-01-24;61,406;61,58;61,25;61,272;38.703;2.378.390
2020-01-23;60,982;61,096;60,76;61,03;50.929;3.103.363
2020-01-22;61,264;61,386;61,092;61,152;19.447;1.190.731
2020-01-21;60,888;61,072;60,73;61,072;45.818;2.788.354
2020-01-20;61,148;61,208;61,048;61,202;62.985;3.851.023
2020-01-17;60,904;61,178;60,88;61,126;24.466;1.493.417
2020-01-16;60,484;60,634;60,386;60,632;22.537;1.363.052
2020-01-15;60,40;60,428;60,126;60,356;84.647;5.104.615
2020-01-14;60,186;60,404;60,01;60,354;12.496;752.980
2020-01-13;60,14;60,24;59,98;60,072;84.973;5.107.747
2020-01-10;60,41;60,496;60,196;60,204;25.811;1.558.083
2020-01-09;60,218;60,248;60,102;60,218;41.471;2.496.148
2020-01-08;59,362;59,868;59,316;59,83;22.358;1.332.251
2020-01-07;59,554;59,686;59,388;59,604;70.748;4.211.064
2020-01-06;59,138;59,284;58,76;59,268;73.937;4.361.487
2020-01-03;59,294;59,478;59,098;59,38;53.680;3.180.025
2020-01-02;59,306;59,668;59,28;59,378;112.929;6.719.015
2019-12-30;59,356;59,356;59,172;59,276;47.780;2.832.110
2019-12-27;59,72;59,738;59,40;59,486;19.902;1.187.035
2019-12-23;59,526;59,658;59,424;59,53;38.534;2.295.177
2019-12-20;59,152;59,60;58,852;59,60;38.880;2.301.735
2019-12-19;58,934;59,05;58,828;59,008;22.291;1.313.333
2019-12-18;58,852;59,00;58,808;58,96;29.810;1.756.407
2019-12-17;58,908;58,908;58,678;58,808;27.640;1.626.433
2019-12-16;58,70;59,032;58,62;59,002;114.077;6.702.450
2019-12-13;58,43;58,668;58,16;58,418;44.034;2.573.700
2019-12-12;57,994;58,51;57,79;58,294;39.723;2.306.839
2019-12-11;58,008;58,098;57,84;58,014;26.367;1.529.585
2019-12-10;58,042;58,114;57,586;57,982;49.842;2.884.341
2019-12-09;58,312;58,314;58,084;58,208;89.278;5.198.696
2019-12-06;57,694;58,43;57,662;58,418;9.627;557.596
2019-12-05;57,906;57,906;57,466;57,466;21.419;1.236.840
