Datum;Eröffnung;Hoch;Tief;Schluss;Volumen
2018-01-02;43,0200;43,4000;42,7710;42,9990;38296
2018-01-02;43,02;43,40;42,77;43,00;38296
2018-01-03;43,3820;43,6500;43,2730;43,6220;23572
2018-01-03;43,38;43,65;43,27;43,62;23572
2018-01-04;43,7090;43,7560;43,5030;43,6930;10204
2018-01-04;43,71;43,76;43,50;43,69;10204
2018-01-05;43,8460;44,1310;43,7600;44,0640;78988
2018-01-05;43,85;44,13;43,76;44,06;78988
2018-01-08;44,3920;44,4220;44,1560;44,3360;20893
2018-01-08;44,39;44,42;44,16;44,34;20893
2018-01-09;44,4690;44,5780;44,3000;44,4170;12583
2018-01-09;44,47;44,58;44,30;44,42;12583
2018-01-10;44,2990;44,2990;43,7390;43,9910;13846
2018-01-10;44,30;44,30;43,74;43,99;13846
2018-01-11;44,1680;44,1680;43,7090;43,8090;9368
2018-01-11;44,17;44,17;43,71;43,81;9368
2018-01-12;44,0200;44,0500;43,6820;44,0500;7910
2018-01-12;44,02;44,05;43,68;44,05;7910
2018-01-15;43,6580;43,7350;43,4090;43,4740;22460
2018-01-15;43,66;43,74;43,41;43,47;22460
2018-01-16;43,8510;44,1730;43,8110;43,9660;4764
2018-01-16;43,85;44,17;43,81;43,97;4764
2018-01-17;43,8630;44,0920;43,8420;44,0700;3895
2018-01-17;43,86;44,09;43,84;44,07;3895
2018-01-18;44,5000;44,5000;44,0860;44,2010;16135
2018-01-18;44,50;44,50;44,09;44,20;16135
2018-01-19;44,2470;44,6540;44,2250;44,4770;8877
2018-01-19;44,25;44,65;44,23;44,48;8877
2018-01-22;44,5770;44,6200;44,4650;44,6200;12356
2018-01-22;44,58;44,62;44,47;44,62;12356
2018-01-23;44,9690;45,0160;44,6960;44,9020;8780
2018-01-23;44,97;45,02;44,70;44,90;8780
2018-01-24;44,7830;44,9460;44,6720;44,6720;5809
2018-01-24;44,78;44,95;44,67;44,67;5809
2018-01-25;44,7160;44,8550;44,3610;44,7600;6685
2018-01-25;44,72;44,86;44,36;44,76;6685
2018-01-26;45,0000;45,2310;44,8720;45,2240;12465
2018-01-26;45,00;45,23;44,87;45,22;12465
2018-01-29;45,2180;45,2650;44,9120;45,0880;8252
2018-01-29;45,22;45,27;44,91;45,09;8252
2018-01-30;44,7070;44,7490;43,6500;44,1430;14088
2018-01-30;44,71;44,75;43,65;44,14;14088
2018-01-31;44,6440;44,6440;44,3500;44,3690;4158
2018-01-31;44,64;44,64;44,35;44,37;4158
2018-02-01;44,4840;44,4840;43,8600;43,9130;106878
2018-02-01;44,48;44,48;43,86;43,91;106878
2018-02-02;43,7280;43,7280;42,9860;43,0970;28554
2018-02-02;43,73;43,73;42,99;43,10;28554
2018-02-05;42,9270;43,0450;42,6080;42,9240;23476
2018-02-05;42,93;43,05;42,61;42,92;23476
2018-02-06;41,6730;42,8300;41,2480;42,0600;21670
2018-02-06;41,67;42,83;41,25;42,06;21670
2018-02-07;41,8370;42,7570;41,6750;42,7000;42362
2018-02-07;41,84;42,76;41,68;42,70;42362
