Datum;Eröffnung;Hoch;Tief;Schluss;Volumen
02.01.2018;43,02;43,40;42,77;43,00;38296
03.01.2018;43,38;43,65;43,27;43,62;23572
04.01.2018;43,71;43,76;43,50;43,69;10204
05.01.2018;43,85;44,13;43,76;44,06;78988
08.01.2018;44,39;44,42;44,16;44,34;20893
09.01.2018;44,47;44,58;44,30;44,42;12583
10.01.2018;44,30;44,30;43,74;43,99;13846
11.01.2018;44,17;44,17;43,71;43,81;9368
12.01.2018;44,02;44,05;43,68;44,05;7910
15.01.2018;43,66;43,74;43,41;43,47;22460
16.01.2018;43,85;44,17;43,81;43,97;4764
17.01.2018;43,86;44,09;43,84;44,07;3895
18.01.2018;44,50;44,50;44,09;44,20;16135
19.01.2018;44,25;44,65;44,23;44,48;8877
22.01.2018;44,58;44,62;44,47;44,62;12356
23.01.2018;44,97;45,02;44,70;44,90;8780
24.01.2018;44,78;44,95;44,67;44,67;5809
25.01.2018;44,72;44,86;44,36;44,76;6685
26.01.2018;45,00;45,23;44,87;45,22;12465
29.01.2018;45,22;45,27;44,91;45,09;8252
30.01.2018;44,71;44,75;43,65;44,14;14088
31.01.2018;44,64;44,64;44,35;44,37;4158
01.02.2018;44,48;44,48;43,86;43,91;106878
02.02.2018;43,73;43,73;42,99;43,10;28554
05.02.2018;42,93;43,05;42,61;42,92;23476
06.02.2018;41,67;42,83;41,25;42,06;21670
07.02.2018;41,84;42,76;41,68;42,70;42362
08.02.2018;42,32;42,40;41,30;41,31;10030
09.02.2018;41,10;41,15;40,67;40,75;14048
12.02.2018;41,32;41,92;41,32;41,61;30039
13.02.2018;42,00;42,00;41,63;41,74;4852
14.02.2018;42,50;42,50;42,00;42,32;6548
15.02.2018;42,92;43,55;42,92;43,18;15318
16.02.2018;43,63;43,93;43,49;43,93;35898
19.02.2018;43,49;43,79;43,40;43,48;7866
20.02.2018;43,16;43,22;42,77;43,22;21134
21.02.2018;43,76;43,87;43,34;43,87;1768
22.02.2018;43,20;43,67;43,12;43,61;8769
23.02.2018;43,85;43,92;43,40;43,92;3721
26.02.2018;44,08;44,26;43,90;44,02;25719
27.02.2018;43,88;43,88;43,42;43,56;2984
28.02.2018;43,35;43,47;43,18;43,18;4391
01.03.2018;43,48;43,49;43,03;43,28;30798
02.03.2018;42,80;42,80;41,70;41,85;10342
05.03.2018;42,20;42,39;41,95;42,39;6778
06.03.2018;42,92;42,98;42,50;42,50;1939
