Datum;Eröffnung;Schluss;Tageshoch;Tagestief;Volumen
24.01.2020;3,59050;3,59050;3,59050;3,59050;-
23.01.2020;3,60000;3,57000;3,63000;3,57000;21.600
22.01.2020;3,62000;3,60000;3,62000;3,60000;30.610
21.01.2020;3,61600;3,60600;3,62000;3,60200;29.120
20.01.2020;3,60000;3,60200;3,62000;3,58500;37.900
17.01.2020;3,60000;3,59000;3,61100;3,58600;32.560
16.01.2020;3,57300;3,60600;3,63000;3,57200;25.130
15.01.2020;3,53600;3,57100;3,61968;3,53600;45.050
14.01.2020;3,55500;3,56500;3,57000;3,53500;83.700
13.01.2020;3,56900;3,55500;3,56900;3,54150;9.300
10.01.2020;3,53500;3,53600;3,56500;3,53500;16.800
09.01.2020;3,50500;3,52200;3,55900;3,50500;3.400
08.01.2020;3,50000;3,50200;3,54375;3,50000;1.500
07.01.2020;3,52500;3,51451;3,56000;3,51000;27.100
06.01.2020;3,52480;3,52500;3,52500;3,50100;22.300
03.01.2020;3,52000;3,52500;3,52510;3,50200;27.050
02.01.2020;3,52010;3,51600;3,52010;3,51010;150
30.12.2019;3,53000;3,53400;3,53400;3,52010;2.500
27.12.2019;3,51800;3,53031;3,57500;3,51600;8.400
23.12.2019;3,58160;3,52100;3,58160;3,52100;5.870
20.12.2019;3,52000;3,52000;3,52500;3,52000;500
19.12.2019;3,51500;3,51500;3,52000;3,51500;38.790
18.12.2019;3,51500;3,53000;3,53000;3,51500;7.750
17.12.2019;3,50000;3,50200;3,52500;3,50000;4.780
16.12.2019;3,52000;3,50000;3,52000;3,50000;4.050
13.12.2019;3,49100;3,50000;3,50000;3,49100;-
12.12.2019;3,49000;3,49100;3,51000;3,49000;9.640
11.12.2019;3,48200;3,49000;3,49000;3,48200;5.900
10.12.2019;3,46200;3,48000;3,54890;3,46200;28.530
09.12.2019;3,47550;3,46200;3,48500;3,46200;32.300
06.12.2019;3,47500;3,47500;3,48600;3,47500;5.500
05.12.2019;3,47500;3,47500;3,47600;3,47500;10.000
04.12.2019;3,47600;3,47500;3,48500;3,47500;8.390
03.12.2019;3,47700;3,47500;3,49400;3,47500;17.250
02.12.2019;3,47500;3,47500;3,49000;3,47500;26.000
29.11.2019;3,47000;3,47500;3,47600;3,47000;9.580
28.11.2019;3,46500;3,46500;3,46800;3,46500;4.560
27.11.2019;3,46300;3,46500;3,46600;3,46300;51.550
26.11.2019;3,46300;3,46300;3,46300;3,46300;-
25.11.2019;3,49900;3,46300;3,49900;3,45100;9.470
22.11.2019;3,44600;3,45100;3,48000;3,44600;8.100
21.11.2019;3,44000;3,44500;3,48500;3,44000;54.620
20.11.2019;3,44800;3,43500;3,45000;3,43500;4.000
19.11.2019;3,44000;3,45000;3,45000;3,44000;-
18.11.2019;3,46700;3,44000;3,46750;3,43600;8.050
15.11.2019;3,43500;3,43500;3,43500;3,43500;-
14.11.2019;3,42800;3,43000;3,45500;3,42600;31.320
13.11.2019;3,45000;3,43000;3,45500;3,42000;59.120
12.11.2019;3,44900;3,44900;3,45000;3,44900;10.500
11.11.2019;3,45000;3,44900;3,45000;3,44900;2.550
08.11.2019;3,44750;3,44900;3,46500;3,44750;18.500
07.11.2019;3,44750;3,44750;3,46500;3,44750;41.180
06.11.2019;3,43600;3,44750;3,46500;3,43500;16.000
05.11.2019;3,43600;3,43600;3,45000;3,43600;1.000
04.11.2019;3,46000;3,43600;3,46000;3,43500;3.800
01.11.2019;3,43500;3,43500;3,45000;3,43500;1.450
31.10.2019;3,43500;3,43500;3,44000;3,43500;2.620
30.10.2019;3,43500;3,43600;3,44000;3,43500;1.020
