Datum;Eroeffnung;Hoch;Tief;Schluss;Volumen
01.01.2004;2.194,03;2.194,03;2.194,03;2.194,03;0
02.01.2004;2.198,36;2.198,36;2.198,36;2.198,36;0
05.01.2004;2.219,77;2.219,77;2.219,77;2.219,77;0
06.01.2004;2.220,89;2.220,89;2.220,89;2.220,89;0
07.01.2004;2.218,48;2.218,48;2.218,48;2.218,48;0
08.01.2004;2.231,47;2.231,47;2.231,47;2.231,47;0
09.01.2004;2.219,12;2.219,12;2.219,12;2.219,12;0
12.01.2004;2.223,07;2.223,07;2.223,07;2.223,07;0
13.01.2004;2.215,61;2.215,61;2.215,61;2.215,61;0
14.01.2004;2.232,04;2.232,04;2.232,04;2.232,04;0
15.01.2004;2.231,75;2.231,75;2.231,75;2.231,75;0
16.01.2004;2.249,80;2.249,80;2.249,80;2.249,80;0
19.01.2004;2.257,22;2.257,22;2.257,22;2.257,22;0
20.01.2004;2.253,56;2.253,56;2.253,56;2.253,56;0
21.01.2004;2.264,60;2.264,60;2.264,60;2.264,60;0
22.01.2004;2.261,60;2.261,60;2.261,60;2.261,60;0
23.01.2004;2.259,56;2.259,56;2.259,56;2.259,56;0
26.01.2004;2.270,57;2.270,57;2.270,57;2.270,57;0
27.01.2004;2.258,58;2.258,58;2.258,58;2.258,58;0
28.01.2004;2.241,50;2.241,50;2.241,50;2.241,50;0
29.01.2004;2.238,06;2.238,06;2.238,06;2.238,06;0
30.01.2004;2.231,61;2.231,61;2.231,61;2.231,61;0
02.02.2004;2.238,24;2.238,24;2.238,24;2.238,24;0
03.02.2004;2.235,62;2.235,62;2.235,62;2.235,62;0
04.02.2004;2.219,17;2.219,17;2.219,17;2.219,17;0
05.02.2004;2.220,74;2.220,74;2.220,74;2.220,74;0
06.02.2004;2.242,10;2.242,10;2.242,10;2.242,10;0
09.02.2004;2.246,08;2.246,08;2.246,08;2.246,08;0
10.02.2004;2.252,58;2.252,58;2.252,58;2.252,58;0
11.02.2004;2.267,22;2.267,22;2.267,22;2.267,22;0
12.02.2004;2.261,28;2.261,28;2.261,28;2.261,28;0
13.02.2004;2.254,89;2.254,89;2.254,89;2.254,89;0
16.02.2004;2.257,13;2.257,13;2.257,13;2.257,13;0
17.02.2004;2.276,45;2.276,45;2.276,45;2.276,45;0
18.02.2004;2.270,23;2.270,23;2.270,23;2.270,23;0
19.02.2004;2.274,50;2.274,50;2.274,50;2.274,50;0
20.02.2004;2.267,24;2.267,24;2.267,24;2.267,24;0
23.02.2004;2.266,34;2.266,34;2.266,34;2.266,34;0
24.02.2004;2.253,04;2.253,04;2.253,04;2.253,04;0
25.02.2004;2.259,57;2.259,57;2.259,57;2.259,57;0
26.02.2004;2.266,99;2.266,99;2.266,99;2.266,99;0
27.02.2004;2.272,08;2.272,08;2.272,08;2.272,08;0
01.03.2004;2.295,13;2.295,13;2.295,13;2.295,13;0
02.03.2004;2.293,43;2.293,43;2.293,43;2.293,43;0
03.03.2004;2.292,77;2.292,77;2.292,77;2.292,77;0
04.03.2004;2.301,78;2.301,78;2.301,78;2.301,78;0
05.03.2004;2.305,87;2.305,87;2.305,87;2.305,87;0
08.03.2004;2.297,25;2.297,25;2.297,25;2.297,25;0
09.03.2004;2.284,57;2.284,57;2.284,57;2.284,57;0
10.03.2004;2.263,60;2.263,60;2.263,60;2.263,60;0
11.03.2004;2.224,96;2.224,96;2.224,96;2.224,96;0
12.03.2004;2.239,73;2.239,73;2.239,73;2.239,73;0
15.03.2004;2.211,73;2.211,73;2.211,73;2.211,73;0
16.03.2004;2.220,75;2.220,75;2.220,75;2.220,75;0
17.03.2004;2.248,41;2.248,41;2.248,41;2.248,41;0
