Datum;Eröffnung;Hoch;Tief;Schluss;Volumen
02.01.2018;188,31;189,35;186,85;187,00;0
03.01.2018;187,35;189,28;187,35;188,53;0
04.01.2018;189,42;190,70;189,40;189,40;0
05.01.2018;190,69;191,54;189,84;190,22;0
08.01.2018;191,85;193,71;191,85;192,52;0
09.01.2018;192,96;194,56;192,96;193,16;114
10.01.2018;193,47;194,08;192,38;192,57;0
11.01.2018;193,42;194,19;191,89;192,27;0
12.01.2018;193,14;193,83;192,00;192,19;0
15.01.2018;193,42;193,73;190,92;190,92;0
16.01.2018;192,36;193,88;189,21;189,59;0
17.01.2018;190,33;192,56;190,33;192,56;0
18.01.2018;192,16;193,60;192,16;192,24;0
19.01.2018;192,75;194,18;192,47;192,85;0
22.01.2018;193,62;195,08;193,56;194,00;0
23.01.2018;195,54;196,18;194,42;194,62;21
24.01.2018;195,55;195,86;193,47;193,67;0
25.01.2018;194,24;195,46;192,54;192,92;0
26.01.2018;193,36;194,96;192,66;193,04;0
29.01.2018;193,93;195,52;193,64;193,84;0
30.01.2018;193,50;194,22;190,92;191,30;0
31.01.2018;191,93;192,84;190,00;190,56;0
01.02.2018;192,52;193,09;189,80;189,99;0
02.02.2018;190,84;191,12;186,96;186,96;0
05.02.2018;186,17;187,13;180,81;180,81;0
06.02.2018;178,69;181,40;177,42;181,22;0
07.02.2018;181,45;186,94;179,89;184,72;0
08.02.2018;185,26;185,69;179,36;179,36;0
09.02.2018;179,12;180,66;175,29;178,49;0
12.02.2018;180,00;184,71;179,86;183,42;0
13.02.2018;183,75;184,90;182,51;182,69;0
14.02.2018;182,61;185,13;182,61;184,03;0
15.02.2018;185,31;187,59;184,87;185,35;18
16.02.2018;186,22;188,66;186,22;187,11;0
19.02.2018;187,91;188,67;184,99;184,99;0
20.02.2018;186,76;186,76;186,76;186,76;24
21.02.2018;185,99;188,52;185,99;186,82;0
22.02.2018;185,58;188,09;185,58;186,07;0
23.02.2018;187,36;188,75;187,36;188,14;0
26.02.2018;189,28;192,16;189,26;190,79;0
27.02.2018;191,51;192,97;190,23;190,23;0
28.02.2018;189,95;191,42;187,99;187,99;0
01.03.2018;187,56;189,43;184,75;184,94;0
02.03.2018;185,30;186,13;183,40;184,16;0
05.03.2018;184,76;187,44;183,66;186,15;0
06.03.2018;188,01;188,01;188,01;188,01;0
07.03.2018;184,14;186,79;184,14;185,18;0
08.03.2018;186,55;188,42;186,55;187,02;0
09.03.2018;187,49;190,97;187,46;189,94;0
12.03.2018;191,10;192,45;191,01;191,01;0
14.03.2018;188,63;191,08;187,01;187,20;0
15.03.2018;188,30;190,23;188,14;189,06;0
16.03.2018;188,30;190,69;188,30;188,84;0
20.03.2018;186,88;188,79;186,88;187,44;0
21.03.2018;188,07;190,25;187,53;187,59;0
22.03.2018;187,87;188,85;184,23;184,32;2
23.03.2018;183,62;185,06;178,99;179,18;0
26.03.2018;180,36;182,07;180,01;181,10;0
27.03.2018;182,87;186,29;181,54;181,69;0
28.03.2018;182,59;183,43;179,78;180,05;0
29.03.2018;180,19;182,40;180,19;181,29;0
03.04.2018;180,40;180,40;180,40;180,40;0
04.04.2018;180,97;182,82;178,45;182,71;0
05.04.2018;183,96;186,93;183,96;184,89;0
06.04.2018;183,90;185,42;180,96;181,52;0
09.04.2018;182,93;184,27;182,42;182,42;0
10.04.2018;183,77;184,56;182,90;183,27;0
11.04.2018;183,02;184,97;182,43;182,98;0
12.04.2018;183,43;185,85;183,43;184,27;0
13.04.2018;184,45;186,20;184,29;184,68;0
16.04.2018;185,44;186,51;184,43;184,57;0
17.04.2018;185,29;187,13;185,29;185,66;0
18.04.2018;186,75;187,92;186,59;186,70;0
19.04.2018;187,52;187,94;185,28;185,52;0
20.04.2018;186,45;187,71;185,54;185,65;0
23.04.2018;186,68;187,69;185,81;186,15;0
24.04.2018;187,11;188,57;183,50;184,02;0
25.04.2018;184,37;185,78;183,41;183,61;0
26.04.2018;185,36;187,58;184,93;186,77;0
27.04.2018;187,82;188,51;186,92;186,96;0
30.04.2018;188,00;189,32;186,81;186,87;0
02.05.2018;187,72;188,98;187,14;187,14;0
03.05.2018;187,29;188,84;187,05;187,46;0
07.05.2018;191,17;193,22;190,78;190,87;0
08.05.2018;191,68;193,13;191,19;191,78;0
09.05.2018;192,45;195,55;192,45;194,28;0
10.05.2018;195,04;196,49;194,94;195,03;0
11.05.2018;195,97;197,06;195,33;195,60;0
14.05.2018;196,55;197,54;195,84;195,86;0
15.05.2018;195,90;197,14;194,37;194,56;0
16.05.2018;195,34;198,09;195,34;196,64;0
17.05.2018;196,58;198,68;196,58;196,81;0
18.05.2018;197,54;198,63;196,44;196,50;0
22.05.2018;198,92;199,54;197,54;197,54;0
23.05.2018;197,78;197,78;197,78;197,78;0
24.05.2018;196,94;198,69;194,80;197,38;0
25.05.2018;198,71;199,67;197,10;197,72;0
28.05.2018;198,39;200,12;197,77;197,81;0
29.05.2018;198,74;200,26;196,07;198,39;0
30.05.2018;196,99;200,20;196,28;198,72;0
31.05.2018;199,45;200,06;197,86;198,04;0
01.06.2018;198,45;200,68;198,45;199,53;0
04.06.2018;200,30;201,60;200,02;200,14;0
05.06.2018;200,44;202,02;200,08;200,32;0
06.06.2018;200,94;202,66;200,94;201,60;0
07.06.2018;202,64;203,54;199,76;200,20;0
08.06.2018;199,95;201,46;198,95;199,09;0
11.06.2018;199,81;202,40;199,81;200,82;0
12.06.2018;201,50;202,60;199,99;200,32;0
13.06.2018;200,74;202,02;200,06;200,06;0
14.06.2018;200,18;203,26;200,18;201,86;0
15.06.2018;203,14;204,06;202,32;202,74;0
18.06.2018;202,64;204,18;201,36;202,90;0
19.06.2018;201,34;203,40;199,58;202,02;0
20.06.2018;203,58;204,92;203,28;203,34;0
21.06.2018;204,24;205,20;201,14;201,44;0
22.06.2018;202,22;203,96;201,86;201,86;0
25.06.2018;201,54;202,40;196,36;197,16;0
26.06.2018;197,80;199,32;197,12;197,12;0
27.06.2018;197,26;199,91;196,74;196,74;0
28.06.2018;197,12;198,39;195,91;196,15;0
29.06.2018;197,41;200,42;197,41;198,50;0
03.07.2018;197,13;200,44;196,88;198,41;0
04.07.2018;198,76;200,36;197,46;197,56;0
05.07.2018;197,56;199,40;197,48;197,85;0
06.07.2018;198,97;199,38;197,80;197,80;0
09.07.2018;199,07;200,70;199,07;199,46;0
10.07.2018;200,28;202,30;200,28;200,60;0
11.07.2018;200,04;201,22;199,42;199,70;0
12.07.2018;200,26;202,76;199,40;201,46;0
13.07.2018;202,06;204,90;201,76;203,48;0
16.07.2018;203,54;204,96;202,96;203,14;0
17.07.2018;203,16;204,96;203,16;203,48;0
18.07.2018;205,36;205,50;203,90;204,02;0
19.07.2018;205,18;205,68;203,86;203,94;0
20.07.2018;204,06;205,34;203,48;203,48;0
23.07.2018;203,70;204,88;202,82;202,82;0
24.07.2018;204,50;205,92;203,96;204,16;0
25.07.2018;204,90;205,60;203,98;204,60;0
26.07.2018;204,34;208,14;204,34;206,48;0
27.07.2018;207,06;208,60;203,32;203,50;0
30.07.2018;205,04;205,44;202,60;202,68;0
01.08.2018;202,72;203,34;200,84;201,16;0
02.08.2018;201,10;203,00;200,84;201,74;0
03.08.2018;202,04;204,70;202,04;203,62;0
06.08.2018;204,34;205,48;203,96;204,08;0
07.08.2018;205,12;206,76;205,00;205,00;0
08.08.2018;206,00;206,64;204,40;204,44;0
09.08.2018;205,38;206,84;205,38;205,38;0
10.08.2018;205,64;206,24;203,08;203,42;0
13.08.2018;205,14;205,14;205,14;205,14;0
14.08.2018;205,14;205,14;205,14;205,14;0
15.08.2018;207,16;207,86;204,10;204,66;0
16.08.2018;204,78;208,08;204,78;206,22;0
17.08.2018;207,36;207,88;204,64;204,64;0
20.08.2018;205,20;206,88;205,20;205,42;0
21.08.2018;205,70;206,66;204,74;204,80;0
22.08.2018;205,18;205,84;203,66;203,66;0
23.08.2018;204,96;205,48;203,16;203,16;0
24.08.2018;203,86;205,04;203,42;203,44;0
27.08.2018;205,30;206,94;205,30;205,62;0
28.08.2018;206,84;207,02;205,24;205,26;0
29.08.2018;206,32;207,16;204,80;205,34;0
30.08.2018;206,08;207,70;204,84;205,70;0
31.08.2018;206,34;207,70;205,76;205,96;0
03.09.2018;206,36;208,96;206,36;206,42;100
04.09.2018;207,50;208,70;205,86;205,86;0
05.09.2018;205,94;207,10;205,28;205,32;0
06.09.2018;205,30;206,90;202,34;202,60;0
07.09.2018;203,10;203,86;201,92;202,14;0
10.09.2018;203,52;205,00;203,16;203,28;0
11.09.2018;204,66;205,12;203,54;203,54;0
12.09.2018;204,78;205,60;203,84;204,30;0
13.09.2018;205,10;206,42;204,48;204,56;0
14.09.2018;205,66;206,46;204,58;204,80;0
17.09.2018;205,98;206,36;203,68;203,68;0
18.09.2018;204,32;205,68;204,14;204,14;0
19.09.2018;205,64;206,04;204,50;204,56;0
20.09.2018;205,48;206,74;205,22;205,24;0
21.09.2018;206,34;207,44;205,08;205,08;2
24.09.2018;204,94;205,98;203,30;203,42;0
25.09.2018;204,12;205,44;203,18;203,18;0
26.09.2018;204,28;206,28;204,20;204,20;0
27.09.2018;204,34;207,24;204,34;205,56;0
28.09.2018;206,70;208,22;206,38;206,44;0
01.10.2018;206,84;210,56;206,84;208,60;0
02.10.2018;209,00;210,66;208,76;208,88;0
04.10.2018;209,28;210,04;205,90;206,40;0
05.10.2018;207,32;208,34;204,48;204,94;0
08.10.2018;206,26;206,68;203,68;204,34;0
09.10.2018;204,74;205,88;203,78;203,78;0
10.10.2018;204,54;205,42;199,71;199,71;0
11.10.2018;195,64;197,35;191,87;192,52;0
12.10.2018;192,41;196,46;192,22;193,95;0
15.10.2018;194,34;197,04;194,01;195,49;0
16.10.2018;196,73;198,27;196,10;197,69;0
17.10.2018;198,87;200,94;197,90;199,33;0
18.10.2018;199,81;200,84;196,17;196,57;0
19.10.2018;198,19;200,08;196,87;197,71;0
22.10.2018;198,91;199,45;196,20;196,38;0
23.10.2018;195,97;196,45;193,99;195,73;0
24.10.2018;196,35;197,89;192,67;192,67;0
25.10.2018;193,13;195,49;192,32;194,06;0
26.10.2018;193,16;195,55;190,61;193,05;0
29.10.2018;194,39;196,41;190,97;192,30;0
30.10.2018;192,52;194,54;190,77;192,09;0
31.10.2018;194,16;196,78;193,50;195,47;0
01.11.2018;195,86;197,96;195,50;197,26;0
02.11.2018;198,40;199,95;195,93;196,13;0
05.11.2018;197,08;197,37;196,23;196,57;0
06.11.2018;198,20;198,51;197,03;197,68;0
07.11.2018;198,37;200,18;198,37;199,97;0
08.11.2018;200,82;201,32;200,02;200,40;0
09.11.2018;200,66;200,66;198,00;198,74;0
12.11.2018;201,06;201,32;197,18;197,18;0
13.11.2018;198,46;200,50;198,01;198,43;0
14.11.2018;198,83;199,89;194,71;194,87;0
15.11.2018;196,70;197,37;194,93;196,68;0
16.11.2018;197,46;198,61;196,12;196,91;0
19.11.2018;197,28;198,92;192,07;192,11;0
20.11.2018;192,97;193,10;187,61;187,76;0
21.11.2018;190,23;191,83;188,74;190,15;0
22.11.2018;191,52;191,52;189,84;189,93;0
23.11.2018;190,24;191,56;189,72;189,72;0
26.11.2018;191,60;193,86;191,60;192,99;0
27.11.2018;193,82;194,52;193,00;193,53;0
28.11.2018;195,42;198,07;195,10;197,50;0
29.11.2018;197,98;200,44;197,78;199,51;0
30.11.2018;199,89;200,28;198,35;199,10;0
03.12.2018;201,76;203,64;200,60;202,36;0
04.12.2018;201,16;202,34;196,28;196,28;0
05.12.2018;198,28;199,70;195,15;195,23;0
06.12.2018;194,43;194,94;189,93;192,66;0
07.12.2018;193,75;196,26;193,20;193,74;0
10.12.2018;193,49;194,34;188,92;190,90;0
11.12.2018;190,23;194,71;190,23;191,75;0
12.12.2018;193,88;196,78;193,35;194,88;0
13.12.2018;195,87;196,26;193,42;193,88;0
14.12.2018;193,16;194,58;191,10;191,32;0
17.12.2018;192,79;193,08;187,42;187,58;0
18.12.2018;188,17;189,28;186,31;186,81;0
19.12.2018;187,22;187,99;183,21;183,64;0
20.12.2018;181,70;182,85;179,49;179,49;47
21.12.2018;179,67;181,25;178,11;178,56;0
27.12.2018;177,88;177,88;177,88;177,88;0
28.12.2018;179,00;181,05;179,00;180,36;0
02.01.2019;181,50;183,93;180,84;181,55;0
03.01.2019;181,37;181,84;179,51;179,67;0
04.01.2019;180,26;184,82;180,26;183,78;0
07.01.2019;185,02;185,81;183,91;184,89;0
08.01.2019;184,79;186,69;184,63;185,27;0
09.01.2019;186,92;187,65;186,31;186,39;0
10.01.2019;186,53;187,57;185,90;186,89;0
11.01.2019;187,34;190,00;186,42;186,70;14
14.01.2019;186,05;187,09;185,90;185,90;0
15.01.2019;187,67;189,44;187,35;188,29;0
16.01.2019;189,23;190,73;189,07;189,92;0
17.01.2019;189,57;190,49;189,44;189,96;0
18.01.2019;191,00;194,52;191,00;193,04;0
21.01.2019;192,54;193,83;192,01;192,11;0
22.01.2019;192,04;193,06;190,31;190,53;0
23.01.2019;190,88;192,96;190,18;190,56;0
24.01.2019;191,64;192,87;190,79;191,09;0
25.01.2019;192,13;193,55;192,05;192,09;0
28.01.2019;192,39;192,39;189,70;189,89;0
29.01.2019;190,67;191,85;189,38;189,44;0
30.01.2019;189,99;191,98;189,99;191,15;0
31.01.2019;191,85;194,57;191,73;193,60;0
01.02.2019;193,51;194,74;193,26;193,41;0
04.02.2019;194,09;195,66;194,09;194,89;0
05.02.2019;195,33;198,51;195,33;197,37;0
06.02.2019;198,04;198,77;197,42;197,66;0
07.02.2019;196,98;198,35;194,98;195,34;0
08.02.2019;195,06;196,44;195,06;195,46;0
11.02.2019;196,26;198,84;196,26;197,64;0
12.02.2019;198,94;200,92;198,94;200,08;0
13.02.2019;201,32;202,10;200,88;201,06;0
14.02.2019;201,20;202,56;199,87;199,87;0
15.02.2019;199,61;203,34;199,61;202,22;0
18.02.2019;203,66;204,24;202,78;204,00;0
19.02.2019;203,30;204,18;202,46;202,50;0
20.02.2019;203,22;204,06;202,20;202,30;0
21.02.2019;203,40;204,42;201,46;201,60;0
22.02.2019;202,22;204,32;202,22;203,30;0
25.02.2019;204,08;205,72;203,98;204,02;0
26.02.2019;203,66;205,22;203,54;203,62;0
27.02.2019;204,34;204,92;203,52;203,60;0
28.02.2019;203,78;204,48;202,68;202,68;0
01.03.2019;204,58;205,44;204,00;204,26;0
04.03.2019;205,38;206,58;203,30;203,40;0
